"price","screensize","memorygb","color","cellular","respID","qID","altID","obsID"
"$399","10.2 in","32 GB","Rose Gold","WiFi + Cellular",2,3,2,11
"$559","10.2 in","32 GB","Space Grey","WiFi + Cellular",2,3,3,11
"$459","7.9 in","128 GB","Silver","WiFi + Cellular",2,3,4,11
"$329","7.9 in","128 GB","Silver","WiFi only",2,4,1,12
"$329","7.9 in","64 GB","Rose Gold","WiFi + Cellular",2,4,2,12
"$429","10.2 in","128 GB","Rose Gold","WiFi + Cellular",2,4,3,12
"$399","7.9 in","32 GB","Space Grey","WiFi only",2,4,4,12
"$529","10.2 in","256 GB","Rose Gold","WiFi only",2,5,1,13
"$529","7.9 in","64 GB","Rose Gold","WiFi + Cellular",2,5,2,13
"$399","10.2 in","32 GB","Rose Gold","WiFi only",2,5,3,13
"$559","7.9 in","128 GB","Space Grey","WiFi only",2,5,4,13
"$549","7.9 in","128 GB","Rose Gold","WiFi + Cellular",2,6,1,14
"$549","10.2 in","32 GB","Silver","WiFi only",2,6,2,14
"$329","7.9 in","128 GB","Silver","WiFi + Cellular",2,6,3,14
"$529","10.2 in","128 GB","Silver","WiFi + Cellular",2,6,4,14
"$549","10.2 in","256 GB","Space Grey","WiFi + Cellular",2,7,1,15
"$429","7.9 in","128 GB","Silver","WiFi only",2,7,2,15
"$429","10.2 in","256 GB","Silver","WiFi only",2,7,3,15
"$559","7.9 in","128 GB","Space Grey","WiFi + Cellular",2,7,4,15
"$399","7.9 in","128 GB","Rose Gold","WiFi only",2,8,1,16
"$679","7.9 in","64 GB","Silver","WiFi only",2,8,2,16
"$679","7.9 in","128 GB","Space Grey","WiFi + Cellular",2,8,3,16
"$529","10.2 in","128 GB","Space Grey","WiFi only",2,8,4,16
"$399","10.2 in","256 GB","Space Grey","WiFi only",3,1,1,17
"$559","7.9 in","32 GB","Silver","WiFi + Cellular",3,1,2,17
"$429","7.9 in","64 GB","Space Grey","WiFi + Cellular",3,1,3,17
"$429","10.2 in","256 GB","Rose Gold","WiFi + Cellular",3,1,4,17
"$559","10.2 in","64 GB","Silver","WiFi only",3,2,1,18
"$529","10.2 in","64 GB","Rose Gold","WiFi + Cellular",3,2,2,18
"$429","7.9 in","64 GB","Rose Gold","WiFi + Cellular",3,2,3,18
"$399","7.9 in","64 GB","Rose Gold","WiFi only",3,2,4,18
"$429","7.9 in","256 GB","Silver","WiFi + Cellular",3,3,1,19
"$549","7.9 in","32 GB","Space Grey","WiFi + Cellular",3,3,2,19
"$549","7.9 in","32 GB","Space Grey","WiFi only",3,3,3,19
"$559","10.2 in","32 GB","Silver","WiFi only",3,3,4,19
"$559","10.2 in","128 GB","Space Grey","WiFi + Cellular",3,4,1,20
"$529","10.2 in","64 GB","Space Grey","WiFi + Cellular",3,4,2,20
"$549","10.2 in","256 GB","Space Grey","WiFi + Cellular",3,4,3,20
"$399","7.9 in","64 GB","Rose Gold","WiFi + Cellular",3,4,4,20
"$429","7.9 in","32 GB","Space Grey","WiFi only",3,5,1,21
"$549","10.2 in","32 GB","Space Grey","WiFi + Cellular",3,5,2,21
"$559","7.9 in","32 GB","Space Grey","WiFi + Cellular",3,5,3,21
"$529","10.2 in","256 GB","Silver","WiFi only",3,5,4,21
"$429","7.9 in","64 GB","Silver","WiFi only",3,6,1,22
"$679","7.9 in","256 GB","Silver","WiFi + Cellular",3,6,2,22
"$329","10.2 in","128 GB","Rose Gold","WiFi + Cellular",3,6,3,22
"$429","7.9 in","256 GB","Rose Gold","WiFi + Cellular",3,6,4,22
"$559","10.2 in","256 GB","Space Grey","WiFi only",3,7,1,23
"$549","10.2 in","256 GB","Silver","WiFi only",3,7,2,23
"$679","10.2 in","32 GB","Rose Gold","WiFi only",3,7,3,23
"$549","10.2 in","128 GB","Space Grey","WiFi + Cellular",3,7,4,23
"$429","10.2 in","64 GB","Rose Gold","WiFi + Cellular",3,8,1,24
"$529","7.9 in","256 GB","Rose Gold","WiFi only",3,8,2,24
"$399","7.9 in","32 GB","Silver","WiFi only",3,8,3,24
"$399","10.2 in","256 GB","Space Grey","WiFi + Cellular",3,8,4,24
"$679","7.9 in","128 GB","Rose Gold","WiFi + Cellular",4,1,1,25
"$549","7.9 in","256 GB","Rose Gold","WiFi only",4,1,2,25
"$559","10.2 in","64 GB","Space Grey","WiFi only",4,1,3,25
"$559","10.2 in","32 GB","Rose Gold","WiFi + Cellular",4,1,4,25
"$399","10.2 in","128 GB","Rose Gold","WiFi only",4,2,1,26
"$459","10.2 in","128 GB","Rose Gold","WiFi only",4,2,2,26
"$459","10.2 in","32 GB","Rose Gold","WiFi + Cellular",4,2,3,26
"$559","7.9 in","64 GB","Silver","WiFi only",4,2,4,26
"$529","7.9 in","32 GB","Space Grey","WiFi + Cellular",4,3,1,27
"$559","7.9 in","64 GB","Rose Gold","WiFi only",4,3,2,27
"$329","10.2 in","64 GB","Space Grey","WiFi + Cellular",4,3,3,27
"$399","7.9 in","128 GB","Silver","WiFi + Cellular",4,3,4,27
"$329","7.9 in","128 GB","Rose Gold","WiFi only",4,4,1,28
"$459","7.9 in","128 GB","Rose Gold","WiFi only",4,4,2,28
"$549","10.2 in","32 GB","Space Grey","WiFi only",4,4,3,28
"$559","7.9 in","256 GB","Space Grey","WiFi + Cellular",4,4,4,28
"$529","10.2 in","128 GB","Space Grey","WiFi only",4,5,1,29
"$429","7.9 in","32 GB","Rose Gold","WiFi only",4,5,2,29
"$529","10.2 in","128 GB","Silver","WiFi + Cellular",4,5,3,29
"$459","7.9 in","128 GB","Rose Gold","WiFi + Cellular",4,5,4,29
"$679","7.9 in","64 GB","Silver","WiFi only",4,6,1,30
"$399","10.2 in","256 GB","Rose Gold","WiFi + Cellular",4,6,2,30
"$559","10.2 in","64 GB","Rose Gold","WiFi only",4,6,3,30
"$679","7.9 in","256 GB","Rose Gold","WiFi only",4,6,4,30
"$559","7.9 in","128 GB","Rose Gold","WiFi + Cellular",4,7,1,31
"$399","7.9 in","64 GB","Silver","WiFi only",4,7,2,31
"$679","7.9 in","64 GB","Rose Gold","WiFi + Cellular",4,7,3,31
"$679","7.9 in","64 GB","Rose Gold","WiFi + Cellular",4,7,4,31
"$679","7.9 in","128 GB","Space Grey","WiFi only",4,8,1,32
"$459","7.9 in","256 GB","Rose Gold","WiFi + Cellular",4,8,2,32
"$679","10.2 in","32 GB","Silver","WiFi only",4,8,3,32
"$559","7.9 in","256 GB","Rose Gold","WiFi only",4,8,4,32
"$429","7.9 in","32 GB","Silver","WiFi only",5,1,1,33
"$399","7.9 in","64 GB","Space Grey","WiFi only",5,1,2,33
"$529","10.2 in","256 GB","Silver","WiFi only",5,1,3,33
"$399","10.2 in","64 GB","Space Grey","WiFi + Cellular",5,1,4,33
"$399","7.9 in","128 GB","Silver","WiFi + Cellular",5,2,1,34
"$559","7.9 in","32 GB","Space Grey","WiFi + Cellular",5,2,2,34
"$399","7.9 in","128 GB","Space Grey","WiFi + Cellular",5,2,3,34
"$549","10.2 in","256 GB","Space Grey","WiFi + Cellular",5,2,4,34
"$329","10.2 in","256 GB","Space Grey","WiFi only",5,3,1,35
"$679","10.2 in","64 GB","Rose Gold","WiFi + Cellular",5,3,2,35
"$329","10.2 in","256 GB","Rose Gold","WiFi + Cellular",5,3,3,35
"$529","7.9 in","128 GB","Rose Gold","WiFi + Cellular",5,3,4,35
"$399","10.2 in","32 GB","Rose Gold","WiFi + Cellular",5,4,1,36
"$459","7.9 in","128 GB","Rose Gold","WiFi only",5,4,2,36
"$329","7.9 in","64 GB","Rose Gold","WiFi only",5,4,3,36
"$549","7.9 in","128 GB","Rose Gold","WiFi only",5,4,4,36
"$429","10.2 in","32 GB","Space Grey","WiFi only",5,5,1,37
"$459","10.2 in","256 GB","Silver","WiFi only",5,5,2,37
"$459","7.9 in","64 GB","Space Grey","WiFi + Cellular",5,5,3,37
"$459","7.9 in","256 GB","Rose Gold","WiFi only",5,5,4,37
"$529","7.9 in","32 GB","Silver","WiFi only",5,6,1,38
"$529","7.9 in","64 GB","Space Grey","WiFi + Cellular",5,6,2,38
"$399","7.9 in","256 GB","Rose Gold","WiFi + Cellular",5,6,3,38
"$529","10.2 in","256 GB","Silver","WiFi only",5,6,4,38
"$429","10.2 in","128 GB","Rose Gold","WiFi only",5,7,1,39
"$459","10.2 in","128 GB","Space Grey","WiFi only",5,7,2,39
"$529","10.2 in","32 GB","Silver","WiFi only",5,7,3,39
"$549","10.2 in","256 GB","Space Grey","WiFi only",5,7,4,39
"$679","10.2 in","128 GB","Rose Gold","WiFi + Cellular",5,8,1,40
"$549","10.2 in","32 GB","Silver","WiFi only",5,8,2,40
"$529","10.2 in","256 GB","Silver","WiFi only",5,8,3,40
"$399","7.9 in","32 GB","Silver","WiFi only",5,8,4,40
"$549","7.9 in","256 GB","Space Grey","WiFi + Cellular",6,1,1,41
"$329","7.9 in","256 GB","Rose Gold","WiFi only",6,1,2,41
"$549","7.9 in","64 GB","Rose Gold","WiFi only",6,1,3,41
"$399","7.9 in","32 GB","Silver","WiFi + Cellular",6,1,4,41
"$429","10.2 in","32 GB","Silver","WiFi + Cellular",6,2,1,42
"$559","10.2 in","128 GB","Space Grey","WiFi + Cellular",6,2,2,42
"$679","7.9 in","32 GB","Rose Gold","WiFi only",6,2,3,42
"$329","10.2 in","64 GB","Silver","WiFi only",6,2,4,42
"$399","7.9 in","256 GB","Space Grey","WiFi + Cellular",6,3,1,43
"$399","10.2 in","64 GB","Silver","WiFi + Cellular",6,3,2,43
"$559","10.2 in","128 GB","Rose Gold","WiFi only",6,3,3,43
"$429","10.2 in","256 GB","Space Grey","WiFi + Cellular",6,3,4,43
"$429","7.9 in","32 GB","Space Grey","WiFi only",6,4,1,44
"$529","10.2 in","128 GB","Silver","WiFi + Cellular",6,4,2,44
"$459","7.9 in","256 GB","Space Grey","WiFi only",6,4,3,44
"$679","10.2 in","128 GB","Rose Gold","WiFi + Cellular",6,4,4,44
"$429","10.2 in","128 GB","Space Grey","WiFi + Cellular",6,5,1,45
"$329","7.9 in","64 GB","Rose Gold","WiFi + Cellular",6,5,2,45
"$529","7.9 in","32 GB","Rose Gold","WiFi + Cellular",6,5,3,45
"$679","7.9 in","128 GB","Silver","WiFi + Cellular",6,5,4,45
"$329","7.9 in","32 GB","Rose Gold","WiFi only",6,6,1,46
"$329","7.9 in","64 GB","Space Grey","WiFi only",6,6,2,46
"$529","7.9 in","128 GB","Silver","WiFi + Cellular",6,6,3,46
"$549","7.9 in","32 GB","Silver","WiFi + Cellular",6,6,4,46
"$459","7.9 in","64 GB","Space Grey","WiFi + Cellular",6,7,1,47
"$559","10.2 in","128 GB","Space Grey","WiFi + Cellular",6,7,2,47
"$549","7.9 in","128 GB","Space Grey","WiFi + Cellular",6,7,3,47
"$459","7.9 in","256 GB","Rose Gold","WiFi + Cellular",6,7,4,47
"$559","7.9 in","256 GB","Space Grey","WiFi + Cellular",6,8,1,48
"$329","10.2 in","256 GB","Rose Gold","WiFi + Cellular",6,8,2,48
"$549","7.9 in","64 GB","Space Grey","WiFi + Cellular",6,8,3,48
"$559","10.2 in","128 GB","Space Grey","WiFi only",6,8,4,48
"$329","7.9 in","32 GB","Silver","WiFi + Cellular",7,1,1,49
"$429","10.2 in","64 GB","Space Grey","WiFi only",7,1,2,49
"$429","7.9 in","128 GB","Rose Gold","WiFi + Cellular",7,1,3,49
"$549","7.9 in","128 GB","Rose Gold","WiFi only",7,1,4,49
"$549","7.9 in","256 GB","Silver","WiFi only",7,2,1,50
"$329","7.9 in","256 GB","Rose Gold","WiFi + Cellular",7,2,2,50
"$529","7.9 in","32 GB","Rose Gold","WiFi only",7,2,3,50
"$529","10.2 in","128 GB","Silver","WiFi + Cellular",7,2,4,50
"$529","7.9 in","32 GB","Rose Gold","WiFi + Cellular",7,3,1,51
"$549","10.2 in","32 GB","Rose Gold","WiFi + Cellular",7,3,2,51
"$429","10.2 in","256 GB","Space Grey","WiFi + Cellular",7,3,3,51
"$559","10.2 in","256 GB","Rose Gold","WiFi only",7,3,4,51
"$549","7.9 in","64 GB","Space Grey","WiFi only",7,4,1,52
"$529","10.2 in","256 GB","Space Grey","WiFi + Cellular",7,4,2,52
"$559","7.9 in","32 GB","Silver","WiFi + Cellular",7,4,3,52
"$399","7.9 in","32 GB","Rose Gold","WiFi + Cellular",7,4,4,52
"$429","10.2 in","64 GB","Silver","WiFi only",7,5,1,53
"$529","10.2 in","128 GB","Silver","WiFi + Cellular",7,5,2,53
"$329","10.2 in","64 GB","Rose Gold","WiFi + Cellular",7,5,3,53
"$529","7.9 in","256 GB","Rose Gold","WiFi + Cellular",7,5,4,53
"$549","7.9 in","64 GB","Space Grey","WiFi only",7,6,1,54
"$429","7.9 in","64 GB","Space Grey","WiFi + Cellular",7,6,2,54
"$399","10.2 in","128 GB","Silver","WiFi + Cellular",7,6,3,54
"$459","10.2 in","256 GB","Silver","WiFi only",7,6,4,54
"$459","7.9 in","128 GB","Rose Gold","WiFi + Cellular",7,7,1,55
"$399","7.9 in","128 GB","Rose Gold","WiFi only",7,7,2,55
"$459","10.2 in","128 GB","Space Grey","WiFi + Cellular",7,7,3,55
"$549","7.9 in","64 GB","Space Grey","WiFi + Cellular",7,7,4,55
"$329","10.2 in","64 GB","Space Grey","WiFi only",7,8,1,56
"$399","10.2 in","128 GB","Space Grey","WiFi + Cellular",7,8,2,56
"$399","10.2 in","256 GB","Space Grey","WiFi only",7,8,3,56
"$429","10.2 in","256 GB","Space Grey","WiFi + Cellular",7,8,4,56
"$559","10.2 in","32 GB","Rose Gold","WiFi only",8,1,1,57
"$429","7.9 in","32 GB","Rose Gold","WiFi + Cellular",8,1,2,57
"$549","10.2 in","32 GB","Silver","WiFi + Cellular",8,1,3,57
"$459","10.2 in","256 GB","Rose Gold","WiFi only",8,1,4,57
"$459","10.2 in","32 GB","Space Grey","WiFi only",8,2,1,58
"$529","7.9 in","128 GB","Space Grey","WiFi only",8,2,2,58
"$559","10.2 in","64 GB","Silver","WiFi only",8,2,3,58
"$559","7.9 in","64 GB","Space Grey","WiFi only",8,2,4,58
"$679","7.9 in","32 GB","Rose Gold","WiFi only",8,3,1,59
"$399","7.9 in","128 GB","Space Grey","WiFi only",8,3,2,59
"$429","10.2 in","256 GB","Space Grey","WiFi + Cellular",8,3,3,59
"$459","7.9 in","256 GB","Silver","WiFi only",8,3,4,59
"$529","10.2 in","32 GB","Rose Gold","WiFi + Cellular",8,4,1,60
"$529","7.9 in","32 GB","Silver","WiFi + Cellular",8,4,2,60
"$529","7.9 in","64 GB","Space Grey","WiFi only",8,4,3,60
"$429","7.9 in","32 GB","Rose Gold","WiFi only",8,4,4,60
"$429","10.2 in","128 GB","Silver","WiFi only",8,5,1,61
"$529","7.9 in","64 GB","Rose Gold","WiFi only",8,5,2,61
"$459","7.9 in","32 GB","Silver","WiFi + Cellular",8,5,3,61
"$429","7.9 in","128 GB","Space Grey","WiFi + Cellular",8,5,4,61
"$459","10.2 in","128 GB","Silver","WiFi + Cellular",8,6,1,62
"$459","10.2 in","256 GB","Space Grey","WiFi + Cellular",8,6,2,62
"$459","10.2 in","256 GB","Silver","WiFi + Cellular",8,6,3,62
"$559","10.2 in","64 GB","Silver","WiFi + Cellular",8,6,4,62
"$529","10.2 in","32 GB","Space Grey","WiFi + Cellular",8,7,1,63
"$679","10.2 in","64 GB","Rose Gold","WiFi + Cellular",8,7,2,63
"$329","7.9 in","128 GB","Space Grey","WiFi only",8,7,3,63
"$679","7.9 in","32 GB","Space Grey","WiFi + Cellular",8,7,4,63
"$679","7.9 in","32 GB","Silver","WiFi + Cellular",8,8,1,64
"$329","10.2 in","64 GB","Rose Gold","WiFi + Cellular",8,8,2,64
"$549","10.2 in","128 GB","Space Grey","WiFi only",8,8,3,64
"$429","7.9 in","256 GB","Space Grey","WiFi + Cellular",8,8,4,64
"$679","7.9 in","128 GB","Rose Gold","WiFi only",9,1,1,65
"$329","7.9 in","128 GB","Space Grey","WiFi only",9,1,2,65
"$549","7.9 in","256 GB","Rose Gold","WiFi only",9,1,3,65
"$549","10.2 in","128 GB","Rose Gold","WiFi + Cellular",9,1,4,65
"$329","10.2 in","128 GB","Space Grey","WiFi only",9,2,1,66
"$559","10.2 in","32 GB","Rose Gold","WiFi only",9,2,2,66
"$559","10.2 in","128 GB","Silver","WiFi + Cellular",9,2,3,66
"$529","7.9 in","256 GB","Rose Gold","WiFi only",9,2,4,66
"$559","7.9 in","64 GB","Rose Gold","WiFi + Cellular",9,3,1,67
"$679","10.2 in","32 GB","Space Grey","WiFi only",9,3,2,67
"$429","10.2 in","128 GB","Silver","WiFi only",9,3,3,67
"$329","10.2 in","64 GB","Rose Gold","WiFi only",9,3,4,67
"$459","10.2 in","64 GB","Space Grey","WiFi + Cellular",9,4,1,68
"$679","7.9 in","32 GB","Silver","WiFi + Cellular",9,4,2,68
"$679","7.9 in","32 GB","Rose Gold","WiFi + Cellular",9,4,3,68
"$459","7.9 in","64 GB","Silver","WiFi only",9,4,4,68
"$329","7.9 in","256 GB","Silver","WiFi only",9,5,1,69
"$529","10.2 in","256 GB","Silver","WiFi only",9,5,2,69
"$329","10.2 in","128 GB","Silver","WiFi + Cellular",9,5,3,69
"$529","10.2 in","128 GB","Silver","WiFi only",9,5,4,69
"$329","10.2 in","32 GB","Space Grey","WiFi only",9,6,1,70
"$399","10.2 in","256 GB","Rose Gold","WiFi + Cellular",9,6,2,70
"$459","10.2 in","128 GB","Space Grey","WiFi only",9,6,3,70
"$329","7.9 in","32 GB","Space Grey","WiFi + Cellular",9,6,4,70
"$559","10.2 in","256 GB","Rose Gold","WiFi + Cellular",9,7,1,71
"$559","7.9 in","128 GB","Space Grey","WiFi + Cellular",9,7,2,71
"$459","7.9 in","128 GB","Silver","WiFi + Cellular",9,7,3,71
"$459","10.2 in","64 GB","Space Grey","WiFi + Cellular",9,7,4,71
"$679","7.9 in","64 GB","Space Grey","WiFi + Cellular",9,8,1,72
"$549","10.2 in","128 GB","Rose Gold","WiFi only",9,8,2,72
"$459","7.9 in","128 GB","Silver","WiFi + Cellular",9,8,3,72
"$459","7.9 in","128 GB","Silver","WiFi + Cellular",9,8,4,72
"$559","7.9 in","64 GB","Space Grey","WiFi + Cellular",10,1,1,73
"$329","10.2 in","64 GB","Space Grey","WiFi only",10,1,2,73
"$459","7.9 in","64 GB","Rose Gold","WiFi only",10,1,3,73
"$429","10.2 in","32 GB","Space Grey","WiFi only",10,1,4,73
"$329","7.9 in","256 GB","Space Grey","WiFi only",10,2,1,74
"$399","10.2 in","256 GB","Silver","WiFi only",10,2,2,74
"$459","10.2 in","32 GB","Silver","WiFi only",10,2,3,74
"$429","10.2 in","32 GB","Space Grey","WiFi + Cellular",10,2,4,74
"$559","7.9 in","64 GB","Rose Gold","WiFi only",10,3,1,75
"$429","10.2 in","64 GB","Silver","WiFi only",10,3,2,75
"$429","10.2 in","32 GB","Silver","WiFi only",10,3,3,75
"$549","10.2 in","32 GB","Space Grey","WiFi only",10,3,4,75
"$559","10.2 in","256 GB","Space Grey","WiFi only",10,4,1,76
"$429","7.9 in","128 GB","Silver","WiFi + Cellular",10,4,2,76
"$549","7.9 in","256 GB","Rose Gold","WiFi only",10,4,3,76
"$549","7.9 in","128 GB","Rose Gold","WiFi + Cellular",10,4,4,76
"$329","10.2 in","64 GB","Silver","WiFi + Cellular",10,5,1,77
"$329","10.2 in","32 GB","Space Grey","WiFi only",10,5,2,77
"$559","7.9 in","64 GB","Space Grey","WiFi + Cellular",10,5,3,77
"$529","7.9 in","256 GB","Silver","WiFi + Cellular",10,5,4,77
"$529","7.9 in","128 GB","Rose Gold","WiFi + Cellular",10,6,1,78
"$329","10.2 in","32 GB","Rose Gold","WiFi only",10,6,2,78
"$559","7.9 in","256 GB","Silver","WiFi only",10,6,3,78
"$559","7.9 in","64 GB","Rose Gold","WiFi + Cellular",10,6,4,78
"$459","10.2 in","64 GB","Rose Gold","WiFi only",10,7,1,79
"$459","7.9 in","64 GB","Silver","WiFi only",10,7,2,79
"$329","7.9 in","64 GB","Silver","WiFi + Cellular",10,7,3,79
"$459","7.9 in","256 GB","Rose Gold","WiFi only",10,7,4,79
"$679","7.9 in","64 GB","Rose Gold","WiFi + Cellular",10,8,1,80
"$549","10.2 in","256 GB","Silver","WiFi + Cellular",10,8,2,80
"$329","10.2 in","32 GB","Silver","WiFi + Cellular",10,8,3,80
"$429","7.9 in","32 GB","Rose Gold","WiFi + Cellular",10,8,4,80
"$429","7.9 in","128 GB","Silver","WiFi only",11,1,1,81
"$679","7.9 in","256 GB","Rose Gold","WiFi + Cellular",11,1,2,81
"$399","7.9 in","128 GB","Silver","WiFi + Cellular",11,1,3,81
"$329","10.2 in","128 GB","Rose Gold","WiFi only",11,1,4,81
"$399","7.9 in","256 GB","Silver","WiFi only",11,2,1,82
"$399","7.9 in","32 GB","Space Grey","WiFi + Cellular",11,2,2,82
"$429","10.2 in","32 GB","Space Grey","WiFi only",11,2,3,82
"$329","7.9 in","32 GB","Silver","WiFi + Cellular",11,2,4,82
"$559","10.2 in","128 GB","Rose Gold","WiFi only",11,3,1,83
"$459","10.2 in","256 GB","Silver","WiFi + Cellular",11,3,2,83
"$459","10.2 in","128 GB","Rose Gold","WiFi only",11,3,3,83
"$549","7.9 in","32 GB","Rose Gold","WiFi only",11,3,4,83
"$679","10.2 in","128 GB","Rose Gold","WiFi + Cellular",11,4,1,84
"$529","7.9 in","64 GB","Space Grey","WiFi only",11,4,2,84
"$549","7.9 in","128 GB","Space Grey","WiFi only",11,4,3,84
"$399","7.9 in","64 GB","Rose Gold","WiFi + Cellular",11,4,4,84
"$559","10.2 in","128 GB","Space Grey","WiFi only",11,5,1,85
"$529","7.9 in","128 GB","Silver","WiFi only",11,5,2,85
"$399","7.9 in","256 GB","Silver","WiFi only",11,5,3,85
"$329","7.9 in","256 GB","Silver","WiFi only",11,5,4,85
"$559","7.9 in","32 GB","Space Grey","WiFi only",11,6,1,86
"$399","7.9 in","32 GB","Silver","WiFi + Cellular",11,6,2,86
"$679","10.2 in","32 GB","Space Grey","WiFi only",11,6,3,86
"$549","10.2 in","32 GB","Silver","WiFi + Cellular",11,6,4,86
"$549","10.2 in","256 GB","Rose Gold","WiFi + Cellular",11,7,1,87
"$679","10.2 in","64 GB","Rose Gold","WiFi + Cellular",11,7,2,87
"$559","7.9 in","128 GB","Space Grey","WiFi + Cellular",11,7,3,87
"$679","10.2 in","128 GB","Space Grey","WiFi + Cellular",11,7,4,87
"$399","10.2 in","256 GB","Space Grey","WiFi + Cellular",11,8,1,88
"$329","7.9 in","64 GB","Space Grey","WiFi + Cellular",11,8,2,88
"$429","10.2 in","32 GB","Rose Gold","WiFi + Cellular",11,8,3,88
"$529","7.9 in","64 GB","Silver","WiFi only",11,8,4,88
"$459","7.9 in","128 GB","Rose Gold","WiFi + Cellular",12,1,1,89
"$549","7.9 in","64 GB","Rose Gold","WiFi + Cellular",12,1,2,89
"$399","7.9 in","32 GB","Space Grey","WiFi only",12,1,3,89
"$679","7.9 in","32 GB","Rose Gold","WiFi only",12,1,4,89
"$399","7.9 in","32 GB","Silver","WiFi only",12,2,1,90
"$399","10.2 in","64 GB","Silver","WiFi + Cellular",12,2,2,90
"$529","7.9 in","32 GB","Space Grey","WiFi only",12,2,3,90
"$459","7.9 in","256 GB","Rose Gold","WiFi only",12,2,4,90
"$529","7.9 in","32 GB","Space Grey","WiFi + Cellular",12,3,1,91
"$679","10.2 in","32 GB","Rose Gold","WiFi + Cellular",12,3,2,91
"$559","7.9 in","128 GB","Rose Gold","WiFi only",12,3,3,91
"$679","10.2 in","64 GB","Silver","WiFi only",12,3,4,91
"$329","10.2 in","128 GB","Rose Gold","WiFi + Cellular",12,4,1,92
"$549","7.9 in","64 GB","Space Grey","WiFi + Cellular",12,4,2,92
"$329","10.2 in","64 GB","Space Grey","WiFi + Cellular",12,4,3,92
"$459","10.2 in","256 GB","Space Grey","WiFi only",12,4,4,92
"$399","7.9 in","256 GB","Rose Gold","WiFi only",12,5,1,93
"$529","7.9 in","256 GB","Space Grey","WiFi only",12,5,2,93
"$529","7.9 in","64 GB","Rose Gold","WiFi only",12,5,3,93
"$459","7.9 in","256 GB","Silver","WiFi only",12,5,4,93
"$399","7.9 in","32 GB","Space Grey","WiFi only",12,6,1,94
"$399","7.9 in","32 GB","Silver","WiFi only",12,6,2,94
"$549","10.2 in","128 GB","Silver","WiFi + Cellular",12,6,3,94
"$459","10.2 in","256 GB","Rose Gold","WiFi only",12,6,4,94
"$459","10.2 in","32 GB","Rose Gold","WiFi only",12,7,1,95
"$679","7.9 in","32 GB","Silver","WiFi + Cellular",12,7,2,95
