"type","price","freshness","respID","qID","altID","obsID"
"Honeycrisp",2,"Average",14,6,2,84
"Fuji",1.5,"Poor",15,1,1,85
"Fuji",4,"Average",15,1,2,85
"Honeycrisp",2,"Average",15,2,1,86
"Pink Lady",2,"Excellent",15,2,2,86
"Red Delicious",2.5,"Poor",15,3,1,87
"Gala",3.5,"Excellent",15,3,2,87
"Pink Lady",2,"Average",15,4,1,88
"Honeycrisp",2,"Excellent",15,4,2,88
"Red Delicious",3.5,"Average",15,5,1,89
"Red Delicious",3,"Excellent",15,5,2,89
"Gala",4,"Excellent",15,6,1,90
"Fuji",1,"Poor",15,6,2,90
"Pink Lady",1,"Average",16,1,1,91
"Fuji",2.5,"Average",16,1,2,91
"Red Delicious",2,"Poor",16,2,1,92
"Red Delicious",1,"Average",16,2,2,92
"Gala",1,"Excellent",16,3,1,93
"Pink Lady",1,"Excellent",16,3,2,93
"Red Delicious",1.5,"Excellent",16,4,1,94
"Pink Lady",2.5,"Average",16,4,2,94
"Red Delicious",2.5,"Average",16,5,1,95
"Pink Lady",4,"Excellent",16,5,2,95
"Red Delicious",3,"Excellent",16,6,1,96
"Red Delicious",3,"Poor",16,6,2,96
"Gala",2,"Excellent",17,1,1,97
"Gala",2,"Average",17,1,2,97
"Pink Lady",3.5,"Excellent",17,2,1,98
"Gala",1,"Average",17,2,2,98
"Pink Lady",1.5,"Poor",17,3,1,99
"Fuji",3,"Poor",17,3,2,99
"Fuji",2,"Average",17,4,1,100
"Fuji",1,"Excellent",17,4,2,100
"Gala",1.5,"Poor",17,5,1,101
"Fuji",4,"Poor",17,5,2,101
"Honeycrisp",4,"Average",17,6,1,102
"Honeycrisp",3,"Average",17,6,2,102
"Gala",4,"Poor",18,1,1,103
"Red Delicious",2,"Poor",18,1,2,103
"Honeycrisp",3,"Poor",18,2,1,104
"Pink Lady",4,"Poor",18,2,2,104
"Honeycrisp",1,"Excellent",18,3,1,105
"Fuji",1.5,"Excellent",18,3,2,105
"Gala",2.5,"Poor",18,4,1,106
"Red Delicious",3.5,"Excellent",18,4,2,106
"Pink Lady",4,"Excellent",18,5,1,107
"Gala",3,"Excellent",18,5,2,107
"Honeycrisp",3,"Average",18,6,1,108
"Pink Lady",3.5,"Average",18,6,2,108
"Gala",2,"Poor",19,1,1,109
"Gala",2,"Poor",19,1,2,109
"Red Delicious",4,"Average",19,2,1,110
"Red Delicious",4,"Excellent",19,2,2,110
"Pink Lady",1.5,"Excellent",19,3,1,111
"Red Delicious",1,"Average",19,3,2,111
"Pink Lady",4,"Average",19,4,1,112
"Pink Lady",1.5,"Poor",19,4,2,112
"Pink Lady",4,"Poor",19,5,1,113
"Honeycrisp",2.5,"Average",19,5,2,113
"Red Delicious",3,"Average",19,6,1,114
"Honeycrisp",2,"Average",19,6,2,114
"Honeycrisp",2.5,"Poor",20,1,1,115
"Red Delicious",1,"Excellent",20,1,2,115
"Gala",3,"Average",20,2,1,116
"Pink Lady",1.5,"Poor",20,2,2,116
"Fuji",2.5,"Poor",20,3,1,117
"Honeycrisp",2.5,"Average",20,3,2,117
"Fuji",2.5,"Poor",20,4,1,118
"Pink Lady",2.5,"Average",20,4,2,118
"Fuji",3.5,"Average",20,5,1,119
"Red Delicious",1.5,"Average",20,5,2,119
"Gala",1.5,"Poor",20,6,1,120
"Red Delicious",3.5,"Average",20,6,2,120
"Fuji",3,"Average",21,1,1,121
"Gala",1.5,"Excellent",21,1,2,121
"Honeycrisp",3.5,"Poor",21,2,1,122
"Honeycrisp",1,"Poor",21,2,2,122
"Honeycrisp",3,"Poor",21,3,1,123
"Fuji",1,"Average",21,3,2,123
"Red Delicious",2,"Poor",21,4,1,124
"Gala",1.5,"Poor",21,4,2,124
"Red Delicious",1.5,"Poor",21,5,1,125
"Honeycrisp",2,"Excellent",21,5,2,125
"Fuji",2,"Average",21,6,1,126
"Gala",1,"Excellent",21,6,2,126
"Red Delicious",1,"Excellent",22,1,1,127
"Pink Lady",2.5,"Excellent",22,1,2,127
"Red Delicious",2,"Poor",22,2,1,128
"Fuji",2.5,"Poor",22,2,2,128
"Fuji",1.5,"Excellent",22,3,1,129
"Fuji",3,"Poor",22,3,2,129
"Honeycrisp",3,"Poor",22,4,1,130
"Fuji",1,"Average",22,4,2,130
"Gala",1,"Poor",22,5,1,131
"Red Delicious",1,"Excellent",22,5,2,131
"Fuji",3.5,"Average",22,6,1,132
"Fuji",3.5,"Poor",22,6,2,132
"Pink Lady",3,"Excellent",23,1,1,133
"Red Delicious",3.5,"Average",23,1,2,133
"Pink Lady",3.5,"Average",23,2,1,134
"Pink Lady",3.5,"Average",23,2,2,134
"Gala",4,"Average",23,3,1,135
"Gala",1.5,"Average",23,3,2,135
"Fuji",1,"Average",23,4,1,136
"Red Delicious",2.5,"Poor",23,4,2,136
"Red Delicious",2.5,"Average",23,5,1,137
"Fuji",3,"Poor",23,5,2,137
"Gala",2.5,"Poor",23,6,1,138
"Pink Lady",2,"Excellent",23,6,2,138
"Fuji",2,"Excellent",24,1,1,139
"Gala",2.5,"Average",24,1,2,139
"Honeycrisp",3.5,"Poor",24,2,1,140
"Gala",1.5,"Poor",24,2,2,140
"Fuji",4,"Average",24,3,1,141
"Red Delicious",1,"Excellent",24,3,2,141
"Gala",1.5,"Poor",24,4,1,142
"Honeycrisp",4,"Excellent",24,4,2,142
"Pink Lady",3,"Poor",24,5,1,143
"Fuji",3.5,"Excellent",24,5,2,143
"Pink Lady",1.5,"Average",24,6,1,144
"Fuji",3.5,"Poor",24,6,2,144
"Pink Lady",3,"Excellent",25,1,1,145
"Red Delicious",4,"Average",25,1,2,145
"Honeycrisp",3.5,"Average",25,2,1,146
"Pink Lady",1,"Poor",25,2,2,146
"Gala",1.5,"Excellent",25,3,1,147
"Pink Lady",3,"Poor",25,3,2,147
"Red Delicious",1.5,"Poor",25,4,1,148
"Fuji",3,"Poor",25,4,2,148
"Honeycrisp",2.5,"Average",25,5,1,149
"Gala",3.5,"Average",25,5,2,149
"Red Delicious",3.5,"Poor",25,6,1,150
"Red Delicious",3.5,"Poor",25,6,2,150
"Gala",1,"Excellent",26,1,1,151
"Honeycrisp",4,"Poor",26,1,2,151
"Pink Lady",2,"Average",26,2,1,152
"Gala",3.5,"Poor",26,2,2,152
"Gala",1,"Average",26,3,1,153
"Pink Lady",3.5,"Excellent",26,3,2,153
"Fuji",1,"Poor",26,4,1,154
"Fuji",3,"Poor",26,4,2,154
"Red Delicious",3.5,"Poor",26,5,1,155
"Pink Lady",3.5,"Average",26,5,2,155
"Fuji",2,"Poor",26,6,1,156
"Fuji",3,"Excellent",26,6,2,156
"Honeycrisp",2.5,"Poor",27,1,1,157
"Fuji",3,"Excellent",27,1,2,157
"Fuji",1.5,"Poor",27,2,1,158
"Gala",2,"Poor",27,2,2,158
"Gala",2.5,"Average",27,3,1,159
"Pink Lady",3.5,"Average",27,3,2,159
"Pink Lady",1.5,"Excellent",27,4,1,160
"Pink Lady",3,"Average",27,4,2,160
"Fuji",3,"Excellent",27,5,1,161
"Red Delicious",3.5,"Average",27,5,2,161
"Pink Lady",2.5,"Poor",27,6,1,162
"Red Delicious",2.5,"Excellent",27,6,2,162
"Fuji",2.5,"Poor",28,1,1,163
"Fuji",4,"Average",28,1,2,163
"Red Delicious",3.5,"Poor",28,2,1,164
"Red Delicious",1,"Poor",28,2,2,164
"Red Delicious",2,"Average",28,3,1,165
"Fuji",3,"Excellent",28,3,2,165
"Gala",4,"Poor",28,4,1,166
"Red Delicious",2.5,"Average",28,4,2,166
"Pink Lady",1.5,"Poor",28,5,1,167
"Fuji",3,"Excellent",28,5,2,167
"Honeycrisp",1,"Excellent",28,6,1,168
"Fuji",2,"Excellent",28,6,2,168
"Honeycrisp",4,"Excellent",29,1,1,169
"Honeycrisp",2.5,"Excellent",29,1,2,169
"Fuji",2.5,"Poor",29,2,1,170
"Gala",1.5,"Poor",29,2,2,170
"Pink Lady",3,"Average",29,3,1,171
"Fuji",3,"Average",29,3,2,171
"Red Delicious",1.5,"Poor",29,4,1,172
"Fuji",1.5,"Average",29,4,2,172
"Red Delicious",3,"Poor",29,5,1,173
"Pink Lady",2.5,"Excellent",29,5,2,173
"Gala",2.5,"Excellent",29,6,1,174
"Red Delicious",2.5,"Poor",29,6,2,174
"Gala",1.5,"Poor",30,1,1,175
"Red Delicious",3.5,"Average",30,1,2,175
"Honeycrisp",4,"Excellent",30,2,1,176
"Gala",3,"Excellent",30,2,2,176
"Honeycrisp",1,"Excellent",30,3,1,177
"Gala",1.5,"Excellent",30,3,2,177
"Fuji",1.5,"Excellent",30,4,1,178
"Fuji",4,"Poor",30,4,2,178
"Red Delicious",3,"Average",30,5,1,179
"Red Delicious",2.5,"Average",30,5,2,179
"Red Delicious",2.5,"Poor",30,6,1,180
"Gala",1.5,"Average",30,6,2,180
"Fuji",4,"Excellent",31,1,1,181
"Fuji",2,"Poor",31,1,2,181
"Fuji",4,"Excellent",31,2,1,182
"Honeycrisp",4,"Excellent",31,2,2,182
"Gala",2.5,"Poor",31,3,1,183
"Red Delicious",3.5,"Excellent",31,3,2,183
"Pink Lady",3.5,"Excellent",31,4,1,184
"Honeycrisp",2.5,"Average",31,4,2,184
"Honeycrisp",1.5,"Excellent",31,5,1,185
"Fuji",1.5,"Poor",31,5,2,185
"Red Delicious",4,"Poor",31,6,1,186
"Gala",1.5,"Poor",31,6,2,186
"Gala",1.5,"Excellent",32,1,1,187
"Gala",1,"Excellent",32,1,2,187
"Pink Lady",1.5,"Excellent",32,2,1,188
"Fuji",2,"Average",32,2,2,188
"Honeycrisp",4,"Excellent",32,3,1,189
"Honeycrisp",3,"Average",32,3,2,189
"Red Delicious",1.5,"Poor",32,4,1,190
"Pink Lady",4,"Excellent",32,4,2,190
"Gala",1,"Average",32,5,1,191
"Pink Lady",1.5,"Average",32,5,2,191
"Red Delicious",3.5,"Excellent",32,6,1,192
"Red Delicious",3,"Poor",32,6,2,192
"Red Delicious",3,"Excellent",33,1,1,193
"Pink Lady",1.5,"Average",33,1,2,193
"Honeycrisp",2.5,"Excellent",33,2,1,194
"Gala",1.5,"Excellent",33,2,2,194
"Fuji",2,"Poor",33,3,1,195
"Red Delicious",3,"Average",33,3,2,195
"Fuji",4,"Average",33,4,1,196
"Gala",4,"Average",33,4,2,196
"Honeycrisp",3.5,"Average",33,5,1,197
"Pink Lady",1,"Poor",33,5,2,197
"Red Delicious",3.5,"Excellent",33,6,1,198
"Gala",2,"Average",33,6,2,198
"Honeycrisp",4,"Excellent",34,1,1,199
"Honeycrisp",3,"Average",34,1,2,199
"Honeycrisp",3.5,"Excellent",34,2,1,200
"Gala",4,"Excellent",34,2,2,200
"Fuji",2,"Poor",34,3,1,201
"Red Delicious",1.5,"Poor",34,3,2,201
"Red Delicious",1,"Poor",34,4,1,202
"Pink Lady",1,"Poor",34,4,2,202
"Red Delicious",3,"Poor",34,5,1,203
"Fuji",1.5,"Average",34,5,2,203
"Honeycrisp",2.5,"Excellent",34,6,1,204
"Pink Lady",2,"Average",34,6,2,204
"Gala",3,"Excellent",35,1,1,205
"Pink Lady",2.5,"Excellent",35,1,2,205
"Honeycrisp",1.5,"Average",35,2,1,206
"Fuji",1,"Excellent",35,2,2,206
"Red Delicious",2.5,"Poor",35,3,1,207
"Fuji",2.5,"Excellent",35,3,2,207
"Honeycrisp",3,"Average",35,4,1,208
"Gala",3,"Poor",35,4,2,208
"Gala",1,"Excellent",35,5,1,209
"Fuji",1.5,"Excellent",35,5,2,209
"Fuji",2.5,"Excellent",35,6,1,210
"Pink Lady",1.5,"Average",35,6,2,210
"Fuji",3,"Average",36,1,1,211
"Fuji",1,"Average",36,1,2,211
"Gala",2.5,"Average",36,2,1,212
"Gala",2.5,"Average",36,2,2,212
"Pink Lady",3,"Excellent",36,3,1,213
"Honeycrisp",1,"Average",36,3,2,213
"Gala",3.5,"Excellent",36,4,1,214
"Fuji",1.5,"Poor",36,4,2,214
"Pink Lady",1,"Average",36,5,1,215
"Fuji",2,"Excellent",36,5,2,215
"Honeycrisp",3,"Poor",36,6,1,216
"Red Delicious",3.5,"Average",36,6,2,216
"Red Delicious",2.5,"Average",37,1,1,217
"Fuji",4,"Excellent",37,1,2,217
"Gala",1,"Excellent",37,2,1,218
"Honeycrisp",3.5,"Average",37,2,2,218
"Gala",3.5,"Excellent",37,3,1,219
"Fuji",4,"Poor",37,3,2,219
"Gala",2.5,"Average",37,4,1,220
"Fuji",2,"Average",37,4,2,220
"Honeycrisp",2,"Average",37,5,1,221
"Fuji",3.5,"Poor",37,5,2,221
"Gala",4,"Poor",37,6,1,222
"Fuji",3.5,"Poor",37,6,2,222
"Gala",3.5,"Average",38,1,1,223
"Honeycrisp",4,"Poor",38,1,2,223
"Honeycrisp",2.5,"Excellent",38,2,1,224
"Gala",1.5,"Excellent",38,2,2,224
"Honeycrisp",1.5,"Average",38,3,1,225
"Fuji",3.5,"Average",38,3,2,225
"Fuji",4,"Poor",38,4,1,226
"Fuji",1,"Excellent",38,4,2,226
"Fuji",2,"Average",38,5,1,227
"Red Delicious",2,"Excellent",38,5,2,227
"Honeycrisp",1.5,"Average",38,6,1,228
"Red Delicious",4,"Poor",38,6,2,228
"Honeycrisp",4,"Average",39,1,1,229
"Red Delicious",2,"Poor",39,1,2,229
"Fuji",3.5,"Excellent",39,2,1,230
"Gala",3.5,"Average",39,2,2,230
"Fuji",3,"Poor",39,3,1,231
"Honeycrisp",1.5,"Excellent",39,3,2,231
"Red Delicious",4,"Poor",39,4,1,232
"Gala",3.5,"Poor",39,4,2,232
"Red Delicious",3,"Average",39,5,1,233
"Fuji",2.5,"Poor",39,5,2,233
"Gala",2,"Excellent",39,6,1,234
"Pink Lady",1.5,"Excellent",39,6,2,234
"Honeycrisp",1,"Excellent",40,1,1,235
"Red Delicious",4,"Excellent",40,1,2,235
"Gala",3,"Excellent",40,2,1,236
"Red Delicious",1.5,"Average",40,2,2,236
"Fuji",1.5,"Excellent",40,3,1,237
"Pink Lady",2.5,"Average",40,3,2,237
"Gala",1.5,"Excellent",40,4,1,238
"Red Delicious",1,"Excellent",40,4,2,238
"Pink Lady",2,"Average",40,5,1,239
"Fuji",3.5,"Excellent",40,5,2,239
"Pink Lady",3.5,"Excellent",40,6,1,240
"Pink Lady",1.5,"Average",40,6,2,240
"Fuji",1,"Poor",41,1,1,241
"Fuji",1,"Average",41,1,2,241
"Gala",1.5,"Excellent",41,2,1,242
"Honeycrisp",4,"Poor",41,2,2,242
"Honeycrisp",3.5,"Excellent",41,3,1,243
"Red Delicious",3,"Poor",41,3,2,243
"Red Delicious",2.5,"Poor",41,4,1,244
"Pink Lady",2,"Average",41,4,2,244
"Fuji",2.5,"Average",41,5,1,245
"Pink Lady",1.5,"Poor",41,5,2,245
"Red Delicious",1.5,"Poor",41,6,1,246
"Fuji",2,"Average",41,6,2,246
"Pink Lady",4,"Average",42,1,1,247
"Gala",1.5,"Poor",42,1,2,247
"Honeycrisp",3.5,"Average",42,2,1,248
"Pink Lady",1.5,"Excellent",42,2,2,248
"Fuji",4,"Average",42,3,1,249
"Red Delicious",4,"Poor",42,3,2,249
"Red Delicious",2.5,"Excellent",42,4,1,250
"Gala",3,"Average",42,4,2,250
"Fuji",1.5,"Excellent",42,5,1,251
"Red Delicious",4,"Excellent",42,5,2,251
"Honeycrisp",3.5,"Average",42,6,1,252
"Pink Lady",3.5,"Excellent",42,6,2,252
"Fuji",3.5,"Excellent",43,1,1,253
"Gala",3.5,"Poor",43,1,2,253
"Fuji",3.5,"Poor",43,2,1,254
"Honeycrisp",1,"Average",43,2,2,254
"Pink Lady",1.5,"Excellent",43,3,1,255
"Honeycrisp",3,"Average",43,3,2,255
"Honeycrisp",2.5,"Average",43,4,1,256
"Fuji",4,"Excellent",43,4,2,256
"Red Delicious",2.5,"Excellent",43,5,1,257
"Fuji",2.5,"Poor",43,5,2,257
"Pink Lady",1.5,"Excellent",43,6,1,258
"Fuji",4,"Average",43,6,2,258
"Honeycrisp",2.5,"Excellent",44,1,1,259
"Pink Lady",3.5,"Excellent",44,1,2,259
"Honeycrisp",1,"Average",44,2,1,260
"Pink Lady",1,"Poor",44,2,2,260
"Red Delicious",4,"Average",44,3,1,261
"Pink Lady",1.5,"Poor",44,3,2,261
"Red Delicious",3,"Excellent",44,4,1,262
"Pink Lady",1,"Excellent",44,4,2,262
"Pink Lady",4,"Poor",44,5,1,263
"Pink Lady",2,"Poor",44,5,2,263
"Fuji",1,"Excellent",44,6,1,264
"Honeycrisp",2.5,"Poor",44,6,2,264
"Gala",3.5,"Average",45,1,1,265
"Red Delicious",3.5,"Average",45,1,2,265
"Honeycrisp",3.5,"Poor",45,2,1,266
"Red Delicious",4,"Poor",45,2,2,266
"Honeycrisp",4,"Excellent",45,3,1,267
"Honeycrisp",3.5,"Poor",45,3,2,267
"Red Delicious",3.5,"Average",45,4,1,268
"Fuji",1.5,"Average",45,4,2,268
"Honeycrisp",3.5,"Poor",45,5,1,269
"Fuji",2,"Excellent",45,5,2,269
"Gala",3,"Excellent",45,6,1,270
"Gala",2,"Excellent",45,6,2,270
"Fuji",2,"Poor",46,1,1,271
"Honeycrisp",1,"Average",46,1,2,271
"Honeycrisp",2,"Average",46,2,1,272
"Gala",4,"Excellent",46,2,2,272
"Pink Lady",1,"Poor",46,3,1,273
"Gala",4,"Poor",46,3,2,273
"Pink Lady",1,"Poor",46,4,1,274
"Honeycrisp",2,"Average",46,4,2,274
"Fuji",3.5,"Average",46,5,1,275
"Fuji",3,"Poor",46,5,2,275
"Honeycrisp",2.5,"Poor",46,6,1,276
"Pink Lady",1.5,"Excellent",46,6,2,276
"Pink Lady",2.5,"Poor",47,1,1,277
"Fuji",3.5,"Average",47,1,2,277
"Pink Lady",4,"Poor",47,2,1,278
"Red Delicious",2,"Poor",47,2,2,278
"Gala",2,"Average",47,3,1,279
"Gala",1,"Average",47,3,2,279
"Honeycrisp",3.5,"Excellent",47,4,1,280
"Honeycrisp",4,"Excellent",47,4,2,280
"Fuji",2,"Excellent",47,5,1,281
"Fuji",3.5,"Poor",47,5,2,281
"Gala",2.5,"Average",47,6,1,282
"Honeycrisp",3,"Poor",47,6,2,282
"Fuji",3,"Poor",48,1,1,283
"Honeycrisp",2,"Excellent",48,1,2,283
"Pink Lady",3,"Excellent",48,2,1,284
"Honeycrisp",4,"Poor",48,2,2,284
"Red Delicious",3.5,"Poor",48,3,1,285
"Fuji",2.5,"Poor",48,3,2,285
"Honeycrisp",1,"Poor",48,4,1,286
"Red Delicious",3.5,"Excellent",48,4,2,286
"Fuji",3.5,"Excellent",48,5,1,287
"Gala",2.5,"Excellent",48,5,2,287
"Pink Lady",3,"Excellent",48,6,1,288
"Honeycrisp",3,"Poor",48,6,2,288
"Gala",4,"Average",49,1,1,289
"Honeycrisp",1,"Poor",49,1,2,289
"Red Delicious",4,"Average",49,2,1,290
"Gala",1,"Poor",49,2,2,290
"Fuji",1,"Poor",49,3,1,291
"Gala",3,"Average",49,3,2,291
"Pink Lady",1.5,"Average",49,4,1,292
"Honeycrisp",1,"Poor",49,4,2,292
"Gala",3.5,"Excellent",49,5,1,293
"Honeycrisp",3,"Poor",49,5,2,293
"Red Delicious",3.5,"Poor",49,6,1,294
"Red Delicious",1.5,"Excellent",49,6,2,294
"Fuji",1,"Excellent",50,1,1,295
"Red Delicious",3.5,"Poor",50,1,2,295
"Pink Lady",2.5,"Excellent",50,2,1,296
"Gala",3.5,"Average",50,2,2,296
"Honeycrisp",4,"Poor",50,3,1,297
"Red Delicious",3.5,"Average",50,3,2,297
"Fuji",1.5,"Average",50,4,1,298
"Honeycrisp",2,"Average",50,4,2,298
"Fuji",3.5,"Excellent",50,5,1,299
"Fuji",1.5,"Poor",50,5,2,299
"Gala",1.5,"Excellent",50,6,1,300
"Honeycrisp",2.5,"Average",50,6,2,300
"Honeycrisp",3,"Average",51,1,1,301
"Red Delicious",3.5,"Excellent",51,1,2,301
"Pink Lady",3,"Average",51,2,1,302
"Fuji",2.5,"Excellent",51,2,2,302
